brand,display,graphic,hdd,link,name,price,processor,ram
asus,15.6� FHD LED (1920x1080) 60Hz Anti/Glare,Nvidia Geforce GTX 1050 4GB Graphics,1024,http://www.linnonlinestore.com/asus-fx-505gd-bo360t-i5-laptop/?setCurrencyId=2,asus fx 505gd-bo360t (i5) laptop,1514782.5,8th Generation Intel Core i5,8
,,,,,,,,
asus,15.6'' Full HD Display,Nvidia Geforce MX 130 2GB,1024,http://www.linnonlinestore.com/asus-x542uf-i5-laptop/?setCurrencyId=2,asus x542uf (i5) laptop,1026935.0,8th Generation Intel Core i5,8
,,,,,,,,
asus,15.6� FHD LED (1920x1080) 60Hz Anti/Glare,Nvidia Geforce MX150 (4GB) GDDR5,1024,http://www.linnonlinestore.com/asus-x541-un-i5-laptop/,asus x541 un(i5) laptop,"1,007,000",8th Generation Intel Core i5,4
,,,,,,,,
asus,15.6� FHD LED (1920x1080) 60Hz Anti/Glare,Nvidia Geforce GTX 1050 4GB Graphics,1024,http://www.linnonlinestore.com/asus-fx-505gd-bo360t-i5-laptop/?setCurrencyId=1,asus fx 505gd-bo360t (i5) laptop,"1,419,000",8th Generation Intel Core i5,8
,,,,,,,,
asus,15.6'' Full HD Display,Nvidia Geforce MX 130 2GB,1024,http://www.linnonlinestore.com/asus-x542uf-i5-laptop/?setCurrencyId=1,asus x542uf (i5) laptop,"962,000",8th Generation Intel Core i5,8
,,,,,,,,
asus,15.6� FHD LED (1920x1080) 60Hz Anti/Glare,Nvidia Geforce MX150 (4GB) GDDR5,1024,http://www.linnonlinestore.com/asus-x541-un-i5-laptop/?setCurrencyId=2,asus x541 un(i5) laptop,1074972.5,8th Generation Intel Core i5,4
,,,,,,,,
asus,15.6� FHD LED (1920x1080) 60Hz Anti/Glare,Nvidia Geforce MX150 (4GB) GDDR5,1024,http://www.linnonlinestore.com/asus-x541-un-i5-laptop/?setCurrencyId=1,asus x541 un(i5) laptop,"1,007,000",8th Generation Intel Core i5,4
,,,,,,,,
asus,15.6'' HD Display,Nvidia Geforce GTX 1050Ti 4GB Graphics,1024,http://www.linnonlinestore.com/asus-505ge-al505t-i7-gaiming-laptop/?setCurrencyId=1,asus 505ge al505t (i7) gaiming laptop,"1,724,000",8th Generation Intel Core i7,8
,,,,,,,,
lenovo,15.6'' HD Display,AMD Radeon 530 2GB,1024,http://www.linnonlinestore.com/lenovo-ideapad-330-i5-15-6/?setCurrencyId=2,"lenovo ideapad 330 (i5) 15.6""",1039744.9999999999,8th Generation Intel Core i5,4
,,,,,,,,
lenovo,15.6'' HD Display,AMD Radeon 530 2GB,1024,http://www.linnonlinestore.com/lenovo-ideapad-330-i5-15-6/?setCurrencyId=1,"lenovo ideapad 330 (i5) 15.6""","974,000",8th Generation Intel Core i5,4
,,,,,,,,
lenovo,"15.6""HD Anti-Glare Display",AMD Radeon 530 2GB DDR5,1024,http://www.linnonlinestore.com/lenovo-ideapad-330-i3-8th/?setCurrencyId=1,lenovo ideapad 330 i3 8th,"636,000",8th Generation Intel Core i3,4
,,,,,,,,
lenovo,15.6'' AntiGlare HD Display,Nvidia MX150 4GB,1000.0,http://www.linnonlinestore.com/lenovo-ideapad-330-i5-8th/?setCurrencyId=2,lenovo ideapad 330 i5 8th,1035475.0,8th Generation Intel Core i5,4
,,,,,,,,
lenovo,15.6'' AntiGlare HD Display,Nvidia MX150 4GB,1000.0,http://www.linnonlinestore.com/lenovo-ideapad-330-i5-8th/?setCurrencyId=1,lenovo ideapad 330 i5 8th,"970,000",8th Generation Intel Core i5,4
,,,,,,,,
dell," 15.6"" Full HD Display 1920x1080", AMD Graphics 4GB DDR5,2048,http://www.linnonlinestore.com/dell-inspiron-5570-i5-8th-gen/?setCurrencyId=2,dell inspiron 5570 (i5)8th gen,1292742.5, 8th Generation Intel Core i5, 4
,,,,,,,,
dell," 15.6"" Full HD Display 1920x1080", AMD Graphics 4GB DDR5,2048,http://www.linnonlinestore.com/dell-inspiron-5570-i5-8th-gen/?setCurrencyId=1,dell inspiron 5570 (i5)8th gen,"1,211,000 ", 8th Generation Intel Core i5, 4
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-aspire-3a-a314-33-pentium-laptop/,acer aspire 3a a314-33  (pentium) laptop,543357.5,3th Generation Intel Pentium,4
,,,,,,,,
acer, 15.6” FHD Acer Comfy View LED LCD ,"  Intel HD Graphics , Windows 10 License ",256.0,http://www.linnonlinestore.com/acer-aspire-swift-5-i5-7th-gen-laptop/,acer aspire swift 5( i5) 7th gen laptop ,1505175.0, 7th Generation Intel Core i5,8
,,,,,,,,
acer,  14'' FHD IPS LCD with glass,  Nvidia Geforce Mx150 2GB,512.0,http://www.linnonlinestore.com/acer-aspire-swift-3-i5-7th-laptop/?setCurrencyId=1,acer aspire swift 3 (i5) 7th  laptop ,"1,363,000 ", 7th Generation Intel Core i5,  8
,,,,,,,,
acer,  14'' FHD IPS LCD with glass,  Nvidia Geforce Mx150 2GB,512.0,http://www.linnonlinestore.com/acer-aspire-swift-3-i5-7th-laptop/?setCurrencyId=2,acer aspire swift 3 (i5) 7th  laptop ,1455002.5, 7th Generation Intel Core i5,  8
,,,,,,,,
